team_home, team_away, score_home, score_away
Phillies,Nationals,0,0
Astros,Yankees,5,1
Mariners,Blue Jays,0,4
Twins,Indians,1,0
Braves,Marlins,8,4
Rays,Red Sox,5,4
Athletics,Rangers,2,5
Padres,White Sox,6,3
Mets,Brewers,4,7
Orioles,Royals,2,3
Cubs,Cardinals,3,2
Dodgers,Rockies,6,2
Pirates,Diamondbacks,4,11
Tigers,Angels,0,7
Reds,Giants,2,3
Twins,White Sox,0,0
Mariners,Phillies,11,6
Giants,Mets,6,5
Braves,Astros,2,4
Cubs,Rockies,0,3
Angels,Athletics,1,3
Orioles,Nationals,6,7
Indians,Blue Jays,7,8
Cardinals,Marlins,7,5
Royals,Rays,1,12
Padres,Rangers,3,4
Red Sox,Brewers,4,7
Tigers,Diamondbacks,1,7
Pirates,Dodgers,2,5
Cubs,Rockies,0,0
Nationals,Orioles,4,6
Indians,Blue Jays,2,4
Cardinals,Marlins,9,4
Royals,Rays,7,3
Yankees,Reds,10,4
Giants,Mets,3,4
Angels,Athletics,2,3
Pirates,Dodgers,1,12
Rangers,Padres,1,5
Dodgers,Padres,0,0
Blue Jays,Rays,2,1
Marlins,Mets,7,0
Cardinals,Braves,6,4
White Sox,Orioles,0,4
Brewers,Pirates,6,2
Red Sox,Twins,17,6
Indians,Royals,1,0
Nationals,Phillies,5,6
Diamondbacks,Rockies,2,5
Astros,Angels,5,3
Tigers,Athletics,6,8
Rangers,Mariners,3,4
Giants,Reds,0,4
Yankees,Cubs,5,4
Red Sox,Twins,11,1
Blue Jays,Rays,1,6
Indians,Royals,3,1
White Sox,Orioles,5,6
Nationals,Phillies,6,2
Brewers,Pirates,1,2
Cardinals,Braves,5,3
Giants,Reds,2,14
Marlins,Mets,3,11
Yankees,Cubs,11,6
Diamondbacks,Rockies,1,9
Dodgers,Padres,10,2
Tigers,Athletics,5,6
Astros,Angels,1,2
Rangers,Mariners,2,8
Yankees,Cubs,3,2
Giants,Reds,3,13
White Sox,Orioles,2,4
Nationals,Phillies,4,2
Brewers,Pirates,0,4
Blue Jays,Rays,8,4
Marlins,Mets,7,8
Cardinals,Braves,10,0
Red Sox,Twins,3,4
Indians,Royals,1,3
Diamondbacks,Rockies,6,3
Tigers,Athletics,7,2
Astros,Angels,7,6
Rangers,Mariners,3,1
Dodgers,Padres,8,2
s,Braves,6,4
White Sox,Orioles,0,4
Brewers,Pirates,6,2
Red Sox,Twins,17,6
Indians,Royals,1,0
Nationals,Phillies,5,6
Diamondbacks,Rockies,2,5
Astros,Angels,5,3
Tigers,Athletics,6,8
Rangers,Mariners,3,4
Giants,Reds,0,4
Yankees,Cubs,5,4
Red Sox,Twins,11,1
Blue Jays,Rays,1,6
Indians,Royals,3,1
White Sox,Orioles,5,6
Nationals,Phillies,6,2
Brewers,Pirates,1,2
Cardinals,Braves,5,3
Giants,Reds,2,14
Marlins,Mets,3,11
Yankees,Cubs,11,6
Diamondbacks,Rockies,1,9
Dodgers,Padres,10,2
Tigers,Athletics,5,6
Astros,Angels,1,2
Rangers,Mariners,2,8
Yankees,Cubs,3,2
Giants,Reds,3,13
White Sox,Orioles,2,4
Nationals,Phillies,4,2
Brewers,Pirates,0,4
Blue Jays,Rays,8,4
Marlins,Mets,7,8
Cardinals,Braves,10,0
Red Sox,Twins,3,4
Indians,Royals,1,3
Diamondbacks,Rockies,6,3
Tigers,Athletics,7,2
Astros,Angels,7,6
Rangers,Mariners,3,1
Dodgers,Padres,8,2
